2025-12-31 21:19:25.013 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 21:19:25.035 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
2025-12-31 21:19:25.395 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8882 (http)
2025-12-31 21:19:25.405 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 21:19:25.406 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 21:19:25.451 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 21:19:25.452 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 948 ms
2025-12-31 21:19:26.218 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8882 (http) with context path '/'
2025-12-31 21:19:26.226 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Started BusinessServiceApplication in 2.179 seconds (process running for 2.71)
2025-12-31 21:19:29.945 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-31 21:19:30.033 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-31 21:35:00.315 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Starting BusinessServiceApplication using Java 17.0.12 with PID 2744 (G:\LE\elm-microservices\elm_cloud\business-service\target\classes started by 26302 in G:\LE\elm-microservices\elm_cloud)
2025-12-31 21:35:00.316 [main] INFO  com.tju.elm.business.BusinessServiceApplication - The following 1 profile is active: "dev"
2025-12-31 21:35:00.842 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-31 21:35:00.844 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-31 21:35:00.865 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2025-12-31 21:35:01.201 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8882 (http)
2025-12-31 21:35:01.215 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-31 21:35:01.216 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-12-31 21:35:01.259 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-31 21:35:01.259 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 909 ms
2025-12-31 21:35:01.983 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8882 (http) with context path '/'
2025-12-31 21:35:01.991 [main] INFO  com.tju.elm.business.BusinessServiceApplication - Started BusinessServiceApplication in 2.142 seconds (process running for 2.602)
2025-12-31 21:35:08.635 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
